OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Свойство;Значение
0;RM;2025-05-18 18:38:27.000;;1.5 TBC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;1.5 E50 PGC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;1.6 Lutina AS PGC-UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme PC Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 0.5 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60 NV2 photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60 NV2 photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Book Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Office Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Book Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme PC Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Office Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  B;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  A;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  B;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Far 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Flex 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Near 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  A;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WL Assist II - 0.88 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLAssist II - 0.88 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLAssist II - 0.88 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Organic 1.54 HSAR Brown/Grey stock Photo;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 PhotoDark;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60 PhotoDark;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Multifocal Office 400 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLProgPlus11 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPlus11 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPlus11 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPlus11 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPlus14 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgBasic11 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgBasic15 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WL Reader I 0.75 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Reader II 1.50 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 Polar;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 PhotoDark;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 PhotoDark;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLBifC28 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLASf 1.60W HMCP STOC D/HD Slim SkyLight UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50W HMCP STOC D/Basic SkyLight;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.56W HMCP Photo/SunComfort Basic SkyLight UV;Индекс преломления;1,56
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60W HMC STOC D/Slim Isee;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50W HMCSB STOC D/Basic SkyLight Digital UV;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50W UC STOC D/Basic Simple;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.50 Sensity Dark;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.60 Sensity Dark;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.54 NV2 PHGY;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.54 NV2 PHBN;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 1.0 1.60 NV2 PHGY;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 1.0 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.8 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 1.0 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 1.0 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Bifocal 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Book 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Book 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Book 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Office 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Office 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Office 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Pc 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Pc 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Ultimate Pc 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;1.52 Stigmal 15;Индекс преломления;1,52
0;RM;2025-05-18 18:38:27.000;;HL 1.50C SHV STOC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLASf 1.67W HMCP STOC D/HD Ultraslim Slim SkyLight UV;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50W HMC STOC D/Basic Isee;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60W HMCSB STOC D/Slim SkyLight Digital UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60W HMCP STOC D/Slim SkyLight;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;HL 1.50C HVA STOC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;HL 1.50C UC STOC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;NL 1.60M HVA STOC;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Miyosmart 1.59;Индекс преломления;1,59
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.54 NV2 PHGY;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.54 NV2 PHBN;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 1.0 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 1.0 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 1.0 1.60 NV2 PHBN;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 0.5 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 0.8 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 1.0 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.5 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 1.0 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.54 NV2 PHBN;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.54 NV2 PHGY;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.54 NV2 PHBN;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.54 NV2 PHGY;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.54 NV2 PHBN;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.54 NV2 PHGY;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;HL 1.53P HVA STOC;Индекс преломления;1,53
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 HVA (Stock+);Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 SHV (Stock+);Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Nikon Lite AS 1.50 ECC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.8 1.60 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.8 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.8 1.60 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.5 1.60 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.5 1.60 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.5 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.5 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.60 NV2 photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate 1.60 NV2 photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.8 1.5 (RX);Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.5 1.5 (RX);Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.8 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Free Plus 0.5 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Ultimate Plus 0.8 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 0.8 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;AS Stellest Airwear 1.59;Индекс преломления;1,59
0;RM;2025-05-18 18:38:27.000;;Nikon Lite AS 1.60 Pure Blue UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;1.56 E56 AS PGC;Индекс преломления;1,56
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  B;Degr;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  A;Degr;0,8
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  B;Degr;1,5
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 SHV (Stock+);Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;Addpower 1.50 HVA (Stock+);Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;Miyosmart 1.59;Исключения METS;Нет
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 11 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 11 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.67;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 PhotoDark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.60;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 PhotoDark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50 Photo;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;WLSVInd 1.50;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.60 Sensity Dark;Исключения METS;Да
0;RM;2025-05-18 18:38:27.000;;Hilux TrueForm 1.50 Sensity Dark;Исключения METS;Да
